,Type,Start,End,Duration,Day of Week,Budget,Currency,Clicks,Impressions,Spent,CTR,CPC,CPI,Target Age,Target Gender,Username,Email,Name,Gender,Age
32,GRZ,2016-11-14,2018-09-13,668,Monday,658780,GBP,52847,500001,517274,0.10569378861242278,9.788143130168221,1.0345459309081382,20-25,F,itaylor,wilsonbarbara@graham.biz,Jennifer Gomez,F,71
33,BYU,2018-06-27,2019-09-13,443,Wednesday,993920,EUR,94580,499999,665075,0.18916037832075663,7.031877775428209,1.3301526603053206,35-55,B,djackson,jessicamurillo@yahoo.com,Andrew Good,M,90
34,BYU,2017-03-04,2018-02-02,335,Saturday,510654,USD,59224,500004,408253,0.11844705242358061,6.893370930703769,0.816499468004256,20-35,M,djackson,jessicamurillo@yahoo.com,Andrew Good,M,90
35,GRZ,2016-12-29,2018-08-18,597,Thursday,521697,USD,34185,500001,272724,0.06836986326027349,7.97788503729706,0.5454469091061818,25-40,M,djackson,jessicamurillo@yahoo.com,Andrew Good,M,90
36,GRZ,2016-10-15,2017-11-24,405,Saturday,555217,GBP,43490,499998,201691,0.08698034792139168,4.637640836974017,0.4033836135344541,35-45,B,jasonwilson,gilbertronald@yahoo.com,Craig Smith,M,38
37,KTR,2017-06-06,2018-01-08,216,Tuesday,354803,EUR,66024,499999,211095,0.1320482640965282,3.197246455834242,0.42219084438168875,25-45,M,jasonwilson,gilbertronald@yahoo.com,Craig Smith,M,38
38,BYU,2017-09-01,2018-01-23,144,Friday,345699,GBP,31576,500000,106690,0.063152,3.37883202432227,0.21338,25-45,M,jasonwilson,gilbertronald@yahoo.com,Craig Smith,M,38
39,GRZ,2018-01-20,2019-01-28,373,Saturday,881352,USD,49204,500002,550021,0.09840760636957452,11.178379806519795,1.1000375998496006,25-45,M,jasonwilson,gilbertronald@yahoo.com,Craig Smith,M,38
40,KTR,2018-03-23,2018-05-20,58,Friday,633178,USD,16324,500001,24433,0.03264793470413059,1.4967532467532467,0.04886590226819546,45-65,B,jasonwilson,gilbertronald@yahoo.com,Craig Smith,M,38
41,GRZ,2016-12-31,2018-02-14,410,Saturday,505982,EUR,50363,500000,180394,0.100726,3.5818755832654925,0.360788,30-45,M,jasonwilson,gilbertronald@yahoo.com,Craig Smith,M,38
42,GRZ,2017-08-07,2018-03-08,213,Monday,516033,USD,95500,499998,305777,0.19100076400305602,3.2018534031413615,0.6115564462257849,20-30,M,jasonwilson,gilbertronald@yahoo.com,Craig Smith,M,38
43,BYU,2017-11-06,2018-08-05,272,Monday,108322,EUR,34109,500000,80736,0.068218,2.366999912046674,0.161472,30-50,M,jack30,autumngardner@yahoo.com,Kimberly Larson,F,52
44,BYU,2016-09-25,2017-11-22,423,Sunday,733137,EUR,25355,500000,341352,0.05071,13.46290672451193,0.682704,40-55,M,jack30,autumngardner@yahoo.com,Kimberly Larson,F,52
45,KTR,2016-11-21,2017-10-24,337,Monday,173784,USD,61254,499997,37909,0.12250873505241032,0.6188820321938159,0.07581845491072946,25-40,M,jack30,autumngardner@yahoo.com,Kimberly Larson,F,52
46,AKX,2017-10-15,2018-01-17,94,Sunday,239502,USD,56265,499999,54392,0.11253022506045011,0.9667110992624189,0.10878421756843513,35-55,M,jack30,autumngardner@yahoo.com,Kimberly Larson,F,52
47,KTR,2017-10-02,2018-03-14,163,Monday,160394,GBP,39385,499996,159930,0.07877063016504132,4.060683001142567,0.3198625589004712,20-25,B,rebeccaking,tammyhodges@hotmail.com,Steven Hunt,M,31
48,KTR,2017-10-21,2017-12-24,64,Saturday,581981,GBP,24570,500000,513074,0.04914,20.88213268213268,1.026148,25-45,B,rebeccaking,tammyhodges@hotmail.com,Steven Hunt,M,31
49,KTR,2018-02-02,2019-10-09,614,Friday,807214,USD,38887,499998,480041,0.07777431109724439,12.344511019106642,0.9600858403433614,40-50,B,rebeccaking,tammyhodges@hotmail.com,Steven Hunt,M,31
50,AKX,2017-05-26,2017-05-07,-19,Friday,643546,EUR,4986,499996,100788,0.009972079776638214,20.214199759326114,0.20157761262090096,20-30,M,salvarez,lori81@hamilton.com,Becky Perez,F,69
51,AKX,2017-01-08,2018-11-18,679,Sunday,428543,USD,26014,499997,63400,0.05202831216987302,2.437149227339125,0.12680076080456482,20-30,B,salvarez,lori81@hamilton.com,Becky Perez,F,69
52,GRZ,2017-08-02,2017-04-12,-112,Wednesday,472704,EUR,40022,500003,297730,0.08004351973888156,7.439158462845435,0.5954564272614364,35-45,F,salvarez,lori81@hamilton.com,Becky Perez,F,69
53,BYU,2017-01-23,2017-05-21,118,Monday,390937,USD,9352,500002,382254,0.018703925184299263,40.874037639007696,0.7645049419802321,20-40,F,salvarez,lori81@hamilton.com,Becky Perez,F,69
54,AKX,2016-08-09,2017-12-05,483,Tuesday,853328,EUR,31821,500000,717022,0.063642,22.532981364507716,1.434044,40-55,F,salvarez,lori81@hamilton.com,Becky Perez,F,69
55,GRZ,2018-07-15,2018-11-09,117,Sunday,75883,GBP,44435,500000,70845,0.08887,1.594351299651176,0.14169,25-30,B,salvarez,lori81@hamilton.com,Becky Perez,F,69
56,BYU,2018-06-15,2018-08-15,61,Friday,831990,USD,79776,500002,670705,0.15955136179455282,8.407353088648215,1.3414046343814625,35-45,F,david10,petersenjanet@smith.net,Larry Hunter,M,68
57,GRZ,2017-11-14,2018-06-30,228,Tuesday,886381,EUR,41594,499998,129016,0.08318833275333101,3.1017935279126796,0.2580330321321285,35-45,F,david10,petersenjanet@smith.net,Larry Hunter,M,68
58,AKX,2017-01-24,2017-12-11,321,Tuesday,730757,GBP,15014,499999,608189,0.03002806005612011,40.50812574930065,1.2163804327608656,30-45,F,christopher31,michelletorres@gmail.com,Brenda Mejia,F,66
59,GRZ,2017-06-06,2019-03-17,649,Tuesday,845430,USD,66020,499996,452106,0.13204105632845062,6.848015752802181,0.90421923375387,25-35,B,christopher31,michelletorres@gmail.com,Brenda Mejia,F,66
60,AKX,2016-08-30,2017-03-29,211,Tuesday,228676,USD,24953,500001,80482,0.049905900188199626,3.225343646054583,0.16096367807264386,25-45,F,christopher31,michelletorres@gmail.com,Brenda Mejia,F,66
61,GRZ,2018-05-31,2018-10-10,132,Thursday,215595,USD,51398,500002,38573,0.10279558881764472,0.7504766722440562,0.07714569141723433,40-55,B,christopher31,michelletorres@gmail.com,Brenda Mejia,F,66
62,AKX,2018-05-17,2019-06-13,392,Thursday,638869,EUR,26668,499999,53984,0.05333610667221334,2.024298785060747,0.10796821593643187,40-65,F,christopher31,michelletorres@gmail.com,Brenda Mejia,F,66
63,GRZ,2018-05-03,2018-07-03,61,Thursday,624640,EUR,12732,500000,367684,0.025464,28.878730757147345,0.735368,30-35,B,christopher31,michelletorres@gmail.com,Brenda Mejia,F,66
64,BYU,2016-10-09,2017-04-12,185,Sunday,120206,GBP,22481,499998,60673,0.0449621798487194,2.6988568124193764,0.12134648538594155,45-60,F,christopher31,michelletorres@gmail.com,Brenda Mejia,F,66
65,BYU,2018-04-03,2018-09-14,164,Tuesday,512023,EUR,29722,499998,288464,0.059444237776951105,9.70540340488527,0.5769303077212309,40-60,M,kendra52,dsanchez@yahoo.com,Gregory Brown,M,31
66,BYU,2018-09-06,2020-01-16,497,Thursday,443804,USD,10843,500002,304724,0.021685913256346976,28.103292446739832,0.6094455622177511,35-40,M,kendra52,dsanchez@yahoo.com,Gregory Brown,M,31
67,AKX,2018-06-25,2020-05-16,691,Monday,303161,EUR,27595,500001,79310,0.05518988962022076,2.874071389744519,0.15861968276063448,45-55,M,eduardo13,joseph90@carlson.org,Stephen Anderson,M,84
68,GRZ,2017-09-04,2019-01-30,513,Monday,90465,EUR,56250,500001,88778,0.11249977500045,1.5782755555555557,0.17755564488871023,35-40,F,eduardo13,joseph90@carlson.org,Stephen Anderson,M,84
69,AKX,2018-03-26,2018-06-05,71,Monday,239944,EUR,80118,499998,200994,0.16023664094656379,2.508724631169026,0.40198960795843186,30-35,F,eduardo13,joseph90@carlson.org,Stephen Anderson,M,84
70,GRZ,2017-01-12,2018-03-16,428,Thursday,426411,GBP,16161,500000,369042,0.032322,22.83534434750325,0.738084,30-50,F,millermelissa,rdiaz@gmail.com,Charles Bell,M,52
71,AKX,2016-09-12,2018-05-15,610,Monday,142728,USD,70408,500001,28582,0.14081571836856327,0.4059481877059425,0.05716388567222865,30-45,B,millermelissa,rdiaz@gmail.com,Charles Bell,M,52
72,AKX,2016-11-17,2018-02-18,458,Thursday,780704,GBP,21730,500000,224929,0.04346,10.35108145421077,0.449858,20-30,F,millermelissa,rdiaz@gmail.com,Charles Bell,M,52
73,AKX,2017-03-18,2017-07-08,112,Saturday,226810,EUR,28295,499998,85194,0.056590226360905445,3.0109206573599576,0.17038868155472622,30-35,B,millermelissa,rdiaz@gmail.com,Charles Bell,M,52
74,KTR,2018-12-02,2019-08-28,269,Sunday,519380,GBP,41638,499999,323487,0.08327616655233311,7.769033094769201,0.646975293950588,35-55,F,millermelissa,rdiaz@gmail.com,Charles Bell,M,52
75,GRZ,2017-11-05,2018-07-06,243,Sunday,418253,USD,94802,499999,612,0.18960437920875842,0.006455560009282504,0.001224002448004896,20-30,B,millermelissa,rdiaz@gmail.com,Charles Bell,M,52
76,BYU,2017-06-16,2018-10-14,485,Friday,497700,GBP,60565,500000,58142,0.12113,0.9599933955254685,0.116284,30-40,M,wrodriguez,sarah33@gmail.com,Anthony Coleman,M,19
77,GRZ,2018-06-15,2019-07-03,383,Friday,711544,USD,19589,500000,709751,0.039178,36.232120067384756,1.419502,30-50,F,wrodriguez,sarah33@gmail.com,Anthony Coleman,M,19
78,KTR,2017-07-09,2018-10-09,457,Sunday,982999,EUR,30702,500001,457393,0.06140387719224562,14.89782424597746,0.9147841704316592,20-25,B,wrodriguez,sarah33@gmail.com,Anthony Coleman,M,19
79,BYU,2017-11-09,2018-12-24,410,Thursday,593801,EUR,58374,499999,519747,0.116748233496467,8.90374139171549,1.039496078992158,30-45,F,wrodriguez,sarah33@gmail.com,Anthony Coleman,M,19
80,BYU,2017-04-22,2017-08-06,106,Saturday,57536,GBP,29738,500003,55583,0.05947564314614112,1.8690900531306747,0.11116533300800195,40-55,B,wrodriguez,sarah33@gmail.com,Anthony Coleman,M,19
81,GRZ,2017-08-12,2019-11-24,834,Saturday,904055,EUR,23422,500002,889536,0.0468438126247495,37.97865254888566,1.779064883740465,30-50,M,hernandezpamela,kaitlynmoore@gmail.com,Leroy Davis,M,88
82,GRZ,2018-02-19,2019-07-03,499,Monday,17858,EUR,59500,500001,1610,0.118999762000476,0.027058823529411764,0.00321999356001288,30-40,F,hernandezpamela,kaitlynmoore@gmail.com,Leroy Davis,M,88
83,GRZ,2017-08-16,2019-04-25,617,Wednesday,576888,GBP,24081,499999,247345,0.048162096324192646,10.271375773431336,0.49469098938197875,25-30,F,hernandezpamela,kaitlynmoore@gmail.com,Leroy Davis,M,88
84,AKX,2017-11-03,2017-08-04,-91,Friday,705383,EUR,56610,499999,232796,0.11322022644045288,4.112276982865218,0.46559293118586237,35-60,M,hernandezpamela,kaitlynmoore@gmail.com,Leroy Davis,M,88
85,GRZ,2017-11-28,2019-07-07,586,Tuesday,699515,GBP,49597,499997,638313,0.09919459516757101,12.869992136621166,1.2766336598019588,40-45,F,hernandezpamela,kaitlynmoore@gmail.com,Leroy Davis,M,88
86,AKX,2018-07-02,2019-11-19,505,Monday,307725,GBP,23873,500004,124320,0.04774561803505572,5.207556653960541,0.24863801089591284,25-45,F,tcarr,josedrake@smith.net,Stephanie Ramos,F,55
87,GRZ,2017-10-23,2018-01-06,75,Monday,378956,USD,65448,500002,170135,0.13089547641809432,2.599544676689891,0.3402686389254443,40-55,F,tcarr,josedrake@smith.net,Stephanie Ramos,F,55
88,GRZ,2016-02-10,2018-01-10,700,Wednesday,800301,GBP,26702,499997,764319,0.05340432042592255,28.624035652760092,1.5286471718830312,35-50,M,tcarr,josedrake@smith.net,Stephanie Ramos,F,55
89,GRZ,2017-09-14,2019-06-21,645,Thursday,273609,EUR,55715,499999,5470,0.11143022286044572,0.0981782284842502,0.01094002188004376,20-25,B,tcarr,josedrake@smith.net,Stephanie Ramos,F,55
90,GRZ,2018-05-03,2019-10-17,532,Thursday,20953,USD,15337,500003,4749,0.030673815957104257,0.3096433461563539,0.009497943012341926,20-30,B,tcarr,josedrake@smith.net,Stephanie Ramos,F,55
91,KTR,2017-05-22,2017-10-10,141,Monday,384981,EUR,15320,499999,176233,0.03064006128012256,11.50345953002611,0.35246670493340987,20-30,B,tcarr,josedrake@smith.net,Stephanie Ramos,F,55
92,AKX,2018-09-04,2020-07-02,667,Tuesday,86098,USD,45627,499998,22851,0.09125436501746007,0.5008218817805247,0.045702182808731236,20-25,F,tcarr,josedrake@smith.net,Stephanie Ramos,F,55
93,BYU,2016-11-14,2017-01-12,59,Monday,119480,EUR,25773,499998,83365,0.051546206184824736,3.2345865828580296,0.1667306669226677,25-40,F,tcarr,josedrake@smith.net,Stephanie Ramos,F,55
94,BYU,2017-01-17,2017-12-10,327,Tuesday,525692,EUR,19092,500000,398706,0.038184,20.88340666247643,0.797412,40-60,M,diazraymond,christopher32@foley-stein.org,Brenda Owens,F,81
95,BYU,2017-01-31,2017-10-26,268,Tuesday,568484,EUR,36030,499998,25715,0.07206028824115296,0.7137107965584235,0.05143020572082288,35-50,B,diazraymond,christopher32@foley-stein.org,Brenda Owens,F,81
96,KTR,2017-06-13,2018-12-02,537,Tuesday,611091,USD,41391,499998,295316,0.08278233112932452,7.134787755792322,0.5906343625374502,20-35,B,owenlogan,ibranch@brown.com,Nichole Vega,F,82
97,AKX,2018-01-23,2019-02-07,380,Tuesday,689928,USD,36968,499994,584383,0.07393688724264691,15.807806751785328,1.1687800253603042,25-40,B,owenlogan,ibranch@brown.com,Nichole Vega,F,82
98,AKX,2017-06-11,2018-08-17,432,Sunday,899784,USD,17267,500001,770203,0.034533930932138135,44.60549024150113,1.5404029191941615,30-45,B,owenlogan,ibranch@brown.com,Nichole Vega,F,82
99,KTR,2016-08-19,2017-06-03,288,Friday,964071,GBP,25784,499999,301514,0.05156810313620627,11.69384114179336,0.6030292060584121,30-40,F,owenlogan,ibranch@brown.com,Nichole Vega,F,82
100,KTR,2016-05-11,2017-04-27,351,Wednesday,611970,USD,6189,499999,552016,0.012378024756049513,89.19308450476652,1.1040342080684162,30-35,B,owenlogan,ibranch@brown.com,Nichole Vega,F,82
101,AKX,2016-12-20,2017-04-04,105,Tuesday,376578,EUR,41804,500001,230589,0.08360783278433444,5.515955410965458,0.4611770776458447,45-50,M,owenlogan,ibranch@brown.com,Nichole Vega,F,82
102,AKX,2016-11-30,2018-05-04,520,Wednesday,763438,EUR,20416,499997,596242,0.04083224499346996,29.2046434169279,1.1924911549469297,25-30,F,owenlogan,ibranch@brown.com,Nichole Vega,F,82
103,GRZ,2018-08-02,2018-11-17,107,Thursday,971119,GBP,31710,500000,815410,0.06342,25.714601072216965,1.63082,30-40,M,davisbrandon,chughes@schultz.com,Jennifer Pruitt,F,90
104,AKX,2017-06-09,2019-03-23,652,Friday,549404,USD,32202,499998,217410,0.06440425761703047,6.751444009688839,0.43482173928695717,45-50,M,davisbrandon,chughes@schultz.com,Jennifer Pruitt,F,90
105,BYU,2017-11-04,2019-01-24,446,Saturday,932523,USD,71676,499999,173430,0.14335228670457342,2.4196383726770465,0.34686069372138745,20-35,B,davisbrandon,chughes@schultz.com,Jennifer Pruitt,F,90
106,AKX,2017-01-04,2017-08-27,235,Wednesday,11704,USD,48680,500000,11025,0.09736,0.22647904683648315,0.02205,35-50,B,davisbrandon,chughes@schultz.com,Jennifer Pruitt,F,90
107,KTR,2017-02-11,2018-11-05,632,Saturday,722958,USD,18397,499998,206049,0.03679414717658871,11.200141327390336,0.4120996483985936,40-50,B,davisbrandon,chughes@schultz.com,Jennifer Pruitt,F,90
108,BYU,2016-11-28,2017-10-24,330,Monday,836905,EUR,52499,500000,79397,0.104998,1.5123526162403094,0.158794,30-45,B,davisbrandon,chughes@schultz.com,Jennifer Pruitt,F,90
109,KTR,2017-10-22,2019-05-10,565,Sunday,845384,EUR,73210,500000,243338,0.14642,3.3238355415926786,0.486676,30-40,M,davisbrandon,chughes@schultz.com,Jennifer Pruitt,F,90
110,AKX,2017-11-04,2018-04-23,170,Saturday,108367,USD,33536,499996,92092,0.06707253658029264,2.74606393129771,0.18418547348378786,25-45,M,foxjeremy,padillatina@yahoo.com,Victoria Stewart,F,73
111,GRZ,2018-06-27,2020-05-20,693,Wednesday,583809,USD,29129,500000,484738,0.058258,16.641079336743452,0.969476,20-30,B,foxjeremy,padillatina@yahoo.com,Victoria Stewart,F,73
112,AKX,2018-06-04,2019-12-28,572,Monday,754852,USD,77497,500001,81512,0.15499369001261998,1.0518084571015651,0.1630236739526521,25-30,F,foxjeremy,padillatina@yahoo.com,Victoria Stewart,F,73
113,GRZ,2017-01-28,2018-01-22,359,Saturday,796038,EUR,20117,499998,63531,0.04023416093664375,3.1580752597305763,0.127062508250033,30-50,F,foxjeremy,padillatina@yahoo.com,Victoria Stewart,F,73
114,KTR,2018-02-08,2020-02-17,739,Thursday,957332,EUR,22268,500000,240230,0.044536,10.788126459493444,0.48046,30-50,B,dcardenas,heatherhernandez@cobb.info,Melissa Ortiz,F,86
115,AKX,2017-09-02,2017-08-05,-28,Saturday,134297,USD,40163,500000,129756,0.080326,3.2307347558698303,0.259512,25-40,M,dcardenas,heatherhernandez@cobb.info,Melissa Ortiz,F,86
116,KTR,2017-10-06,2018-06-03,240,Friday,935850,EUR,45393,499997,455366,0.09078654471926832,10.031634833564647,0.9107374644247865,45-55,M,dcardenas,heatherhernandez@cobb.info,Melissa Ortiz,F,86
117,GRZ,2018-11-02,2019-03-13,131,Friday,790079,USD,33121,499997,557071,0.06624239745438473,16.819268741885814,1.1141486848921094,25-35,M,dcardenas,heatherhernandez@cobb.info,Melissa Ortiz,F,86
118,AKX,2017-05-21,2017-09-23,125,Sunday,326185,GBP,27619,499998,80147,0.05523822095288381,2.9018791411709333,0.1602946411785647,30-40,M,dcardenas,heatherhernandez@cobb.info,Melissa Ortiz,F,86
119,BYU,2017-10-02,2017-06-23,-101,Monday,807859,USD,53065,500001,756474,0.10612978774042452,14.255611043060398,1.5129449741100518,25-45,F,veronica07,qharris@adkins-thornton.biz,Stephen Bailey,M,58
120,GRZ,2017-04-22,2018-02-22,306,Saturday,97589,USD,74324,499999,57194,0.1486482972965946,0.7695226306442065,0.11438822877645756,35-55,F,veronica07,qharris@adkins-thornton.biz,Stephen Bailey,M,58
121,BYU,2017-12-23,2018-02-03,42,Saturday,575589,EUR,17008,499997,15955,0.034016204097224584,0.938087958607714,0.03191019146114877,30-35,B,veronica07,qharris@adkins-thornton.biz,Stephen Bailey,M,58
122,AKX,2017-07-25,2017-06-12,-43,Tuesday,838442,EUR,69567,500002,459463,0.13913344346622614,6.60461138183334,0.9189223243107028,25-35,F,veronica07,qharris@adkins-thornton.biz,Stephen Bailey,M,58
123,KTR,2017-05-24,2018-02-20,272,Wednesday,215018,EUR,53610,499997,165005,0.10722064332385994,3.0778772617049057,0.33001198007188043,35-55,M,veronica07,qharris@adkins-thornton.biz,Stephen Bailey,M,58
124,GRZ,2017-04-08,2018-04-18,375,Saturday,821715,GBP,26998,499998,665856,0.05399621598486394,24.663160234091414,1.3317173268693074,30-40,M,veronica07,qharris@adkins-thornton.biz,Stephen Bailey,M,58
125,GRZ,2017-10-10,2018-09-07,332,Tuesday,608661,EUR,66549,499998,353255,0.13309853239412958,5.308193962343537,0.7065128260513042,30-45,B,veronica07,qharris@adkins-thornton.biz,Stephen Bailey,M,58
126,KTR,2018-09-07,2020-04-14,585,Friday,50102,EUR,37023,499998,42785,0.07404629618518474,1.1556329849012776,0.08557034228136913,25-45,F,davismason,mwashington@hotmail.com,Madison Cummings,F,41
127,GRZ,2017-11-12,2018-05-16,185,Sunday,878273,GBP,23578,500002,485963,0.047155811376754495,20.610866061582833,0.9719221123115508,20-25,B,davismason,mwashington@hotmail.com,Madison Cummings,F,41
128,AKX,2017-08-07,2018-10-18,437,Monday,509217,GBP,73139,500004,493451,0.14627682978536172,6.74675617659525,0.9868941048471612,25-30,M,davismason,mwashington@hotmail.com,Madison Cummings,F,41
129,BYU,2018-11-02,2019-06-16,226,Friday,518083,GBP,43455,499998,391772,0.08691034764139056,9.015579334944196,0.7835471341885367,30-45,F,davismason,mwashington@hotmail.com,Madison Cummings,F,41
130,AKX,2018-07-14,2018-11-29,138,Saturday,746893,GBP,42576,500003,692393,0.08515148909106546,16.2625187899286,1.384777691333852,25-45,M,davismason,mwashington@hotmail.com,Madison Cummings,F,41
131,AKX,2017-05-07,2018-01-22,260,Sunday,715892,EUR,30406,499997,341631,0.06081236487418924,11.235644280734066,0.6832660995965976,25-45,F,davismason,mwashington@hotmail.com,Madison Cummings,F,41
132,KTR,2018-08-05,2019-06-02,301,Sunday,64219,EUR,60401,499998,5674,0.12080248320993284,0.09393884207215113,0.01134804539218157,40-50,B,davismason,mwashington@hotmail.com,Madison Cummings,F,41
